movie,year,id
Anaconda,1997,118615
Anastasia,1997,118617
Apt Pupil,1998,118636
The Assignment,1997,118647
Austin Powers: International Man of Mystery,1997,118655
Batman & Robin,1997,118688
Bean,1997,118689
The Big Lebowski,1998,118715
Boogie Nights,1997,118749
Booty Call,1997,118750
Breakdown,1997,118771
Chasing Amy,1997,118842
Con Air,1997,118880
Conspiracy Theory,1997,118883
Contact,1997,118884
Gang Related,1997,118900
Dark City,1998,118929
Deep Rising,1998,118956
The Devil's Advocate,1997,118971
Donnie Brasco,1997,119008
Event Horizon,1997,119081
Face/Off,1997,119094
Fallen,1998,119099
The Fifth Element,1997,119116
G.I. Jane,1997,119173
The Game,1997,119174
Gattaca,1997,119177
Good Will Hunting,1997,119217
Great Expectations,1998,119223
Grosse Pointe Blank,1997,119229
Mrs. Brown,1997,119280
The Horse Whisperer,1998,119314
The Ice Storm,1997,119349
Inventing the Abbotts,1997,119381
Jackie Brown,1997,119396
Kundun,1997,119485
L.A. Confidential,1997,119488
Liar Liar,1997,119528
The Lost World: Jurassic Park,1997,119567
Meet Joe Black,1998,119643
Men in Black,1997,119654
Metro,1997,119664
Mimic,1997,119675
My Best Friend's Wedding,1997,119738
As Good as It Gets,1997,119822
The Postman,1997,119925
Primary Colors,1998,119942
The Relic,1997,120004
The Saint,1997,120053
Scream 2,1997,120082
Soldier,1998,120157
Spacejacked,,120174
Spawn,1997,120177
Sphere,1998,120184
Three Kings,1999,120188
Starship Troopers,1997,120201
State and Main,2000,120202
SubUrbia,1996,120238
The Sweet Hereafter,1997,120255
A Simple Plan,1998,120324
Titanic,1997,120338
Tomorrow Never Dies,1997,120347
The Truman Show,1998,120382
U Turn,1997,120399
American History X,1998,120586
Antz,1998,120587
Armageddon,1998,120591
Being John Malkovich,1999,120601
Beloved,1998,120603
Blade,1998,120611
The Mummy,1999,120616
A Bug's Life,1998,120623
Deep Impact,1998,120647
Dogma,1999,120655
Enemy of the State,1998,120660
Eyes Wide Shut,1999,120663
Fantastic Four,2005,120667
Fear and Loathing in Las Vegas,1998,120669
From Hell,2001,120681
Gods and Monsters,1998,120684
Godzilla,1998,120685
Stepmom,1998,120686
The Green Mile,1999,120689
Halloween H20: 20 Years Later,1998,120694
Hard Rain,1998,120696
"Lock, Stock and Two Smoking Barrels",1998,120735
The Lord of the Rings: The Fellowship of the Ring,2001,120737
Lost in Space,1998,120738
The Man in the Iron Mask,1998,120744
The Mask of Zorro,1998,120746
Mighty Joe Young,1998,120751
Mission: Impossible II,2000,120755
Mulan,1998,120762
A Night at the Roxbury,1998,120770
Out of Sight,1998,120780
The Parent Trap,1998,120783
Pleasantville,1998,120789
RKO 281,,120801
